number,count,frequency,posterior_mean,recency_score,markov_repeat_prob,current_streak,longest_streak,heuristic_score,rank
47,3,0.005050505050505051,0.006711409395973154,0.030170925992841324,0.0,1,1,0.06316473223931536,1
95,8,0.013468013468013467,0.015100671140939598,0.016056463688448406,0.25,0,3,0.037006899886148234,2
52,8,0.013468013468013467,0.015100671140939598,0.02621385961880379,0.125,0,2,0.028061988461772613,3
45,7,0.011784511784511785,0.013422818791946308,0.02225932036911514,0.14285714285714285,0,2,0.027707168119421793,4
0,7,0.011784511784511785,0.013422818791946308,0.020160723671803858,0.14285714285714285,0,2,0.026972659275362843,5
50,6,0.010101010101010102,0.01174496644295302,0.012374852516892973,0.16666666666666666,0,2,0.025872110861422336,6
96,5,0.008417508417508417,0.010067114093959731,0.0003630198229201701,0.2,0,2,0.024244856861191114,7
41,9,0.015151515151515152,0.016778523489932886,0.004221906950182512,0.1111111111111111,0,2,0.019732362029540356,8
87,9,0.015151515151515152,0.016778523489932886,0.0038888575000104886,0.1111111111111111,0,2,0.019615794721980148,9
56,8,0.013468013468013467,0.015100671140939598,0.037284982807094566,0.0,0,1,0.019436881577674384,10
21,9,0.015151515151515152,0.016778523489932886,0.027601536186073243,0.0,0,1,0.016804121150991,11
6,7,0.011784511784511785,0.013422818791946308,0.03103854636982705,0.0,0,1,0.016494182933956675,12
79,8,0.013468013468013467,0.015100671140939598,0.028206423895831355,0.0,0,1,0.01625938595873226,13
59,10,0.016835016835016835,0.018456375838926176,0.023444455446126822,0.0,0,1,0.01610558878268383,14
25,8,0.013468013468013467,0.015100671140939598,0.02752580914686364,0.0,0,1,0.01602117079659356,15
60,13,0.021885521885521887,0.02348993288590604,0.015482819396146685,0.0,0,1,0.015588353837213019,16
93,11,0.018518518518518517,0.020134228187919462,0.019664509869724792,0.0,0,1,0.015539053721617197,17
12,8,0.013468013468013467,0.015100671140939598,0.024065121824992215,0.0,0,1,0.014809930233938562,18
33,7,0.011784511784511785,0.013422818791946308,0.026172723704582557,0.0,0,1,0.014791145001121104,19
29,7,0.011784511784511785,0.013422818791946308,0.025881291991720796,0.0,0,1,0.014689143901619487,20
99,8,0.013468013468013467,0.015100671140939598,0.02364334666875386,0.0,0,1,0.014662308929255137,21
18,6,0.010101010101010102,0.01174496644295302,0.027056697921938374,0.0,0,1,0.014344090086521561,22
62,6,0.010101010101010102,0.01174496644295302,0.025795698502786596,0.0,0,1,0.013902740289818437,23
51,6,0.010101010101010102,0.01174496644295302,0.02547381998246734,0.0,0,1,0.013790082807706699,24
57,9,0.015151515151515152,0.016778523489932886,0.01897712530298765,0.0,0,1,0.013785577341911043,25
36,5,0.008417508417508417,0.010067114093959731,0.025636067837980902,0.0,0,1,0.013090423666462367,26
